Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_7556393484185237;0.0920;0.1828;0.2000;0.1000;0.1500;0.0625;0.0625;0.1875;0.0125;0.6058;0.6512;1;3;0.0364;0.6779;0.6529;Qwen 2.5-1.5B
ID_7705487128433052;0.5232;0.4235;0.6000;0.4000;0.2000;0.1304;0.1739;0.1739;0.1413;0.4762;0.1501;4;4;0.1413;0.4762;0.1461;Qwen 2.5-1.5B
ID_5215677939309020;0.3860;0.3587;0.6000;0.5000;0.4000;0.1200;0.2000;0.3200;0.0996;0.5462;0.5714;5;8;0.1488;0.5846;0.6350;Qwen 2.5-1.5B
ID_3632313056549978;0.2128;0.2062;0.2000;0.2000;0.1500;0.0526;0.1053;0.1579;0.0677;0.0500;0.6596;3;6;0.0808;0.0667;0.6984;Qwen 2.5-1.5B
ID_1113234690255161;0.2278;0.1854;0.2000;0.3000;0.2000;0.0357;0.1071;0.1429;0.0286;0.2366;0.8039;3;4;0.0405;0.3602;0.7434;Qwen 2.5-1.5B
ID_3583817683372046;0.3015;0.2891;0.0000;0.4000;0.2500;0.0000;0.2000;0.2500;0.0593;0.2407;0.6425;5;7;0.0785;0.4630;0.6752;Qwen 2.5-1.5B
ID_7216344229807186;0.0838;0.0750;0.2000;0.1000;0.0500;0.0556;0.0556;0.0556;0.0278;0.1068;0.6231;2;3;0.0278;0.1246;0.6365;Qwen 2.5-1.5B
ID_7873530684119035;0.6332;0.5230;0.8000;0.7000;0.5000;0.0889;0.1556;0.2222;0.1222;0.5181;0.5586;7;10;0.1709;0.5766;0.5692;Qwen 2.5-1.5B
ID_3849610589103935;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4615;0.5967;0;0;0.0000;0.4615;0.6792;Qwen 2.5-1.5B
ID_2426330204919814;0.6079;0.4800;0.8000;0.6000;0.4500;0.1026;0.1538;0.2308;0.1156;0.6078;0.7346;6;9;0.1568;0.6275;0.7212;Qwen 2.5-1.5B
ID_6807553800607803;0.5183;0.5059;0.8000;0.7000;0.4500;0.1905;0.3333;0.4286;0.2948;0.4403;0.7185;8;11;0.3595;0.5896;0.7402;Qwen 2.5-1.5B
ID_9896747816468168;0.6035;0.5545;0.8000;0.7000;0.6000;0.1212;0.2121;0.3636;0.1843;0.2336;0.7364;7;12;0.2799;0.3738;0.7177;Qwen 2.5-1.5B
ID_8703127071027272;0.5174;0.3887;0.6000;0.4000;0.3000;0.0698;0.0930;0.1395;0.0733;0.1299;0.7324;4;6;0.0931;0.2208;0.7124;Qwen 2.5-1.5B
ID_5984945942545807;0.6994;0.5540;1.0000;0.8000;0.4500;0.2381;0.3810;0.4286;0.3697;0.3663;0.6069;8;9;0.4054;0.4257;0.6556;Qwen 2.5-1.5B
ID_6384773144352915;0.3644;0.3404;0.4000;0.3000;0.2000;0.1111;0.1667;0.2222;0.0815;0.1429;0.6576;4;5;0.0926;0.1429;0.6679;Qwen 2.5-1.5B
