Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_7269889225548975;0.4570;0.3336;0.4000;0.4000;0.2000;0.0909;0.1818;0.1818;0.1123;0.3250;0.3700;0.1123;0.3250;0.2929;4;4;Qwen3-1.7B-QLoRA
ID_7299082066704598;0.6259;0.4436;0.8000;0.6000;0.3500;0.1000;0.1500;0.1750;0.1210;0.5057;0.2063;0.1370;0.5172;0.1973;6;7;Qwen3-1.7B-QLoRA
ID_7305428791149745;0.3578;0.2867;0.2000;0.5000;0.3000;0.0500;0.2500;0.3000;0.0903;0.2039;0.6064;0.1175;0.2039;0.5261;5;6;Qwen3-1.7B-QLoRA
ID_7312223977002681;0.0943;0.0609;0.2000;0.1000;0.0500;0.0286;0.0286;0.0286;0.0286;0.0376;0.4121;0.0286;0.0376;0.4121;1;1;Qwen3-1.7B-QLoRA
ID_7430030311775522;0.1100;0.0724;0.2000;0.1000;0.0500;0.0333;0.0333;0.0333;0.0111;0.3471;0.5407;0.0111;0.3636;0.5423;1;1;Qwen3-1.7B-QLoRA
ID_7456235597127456;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1792;0.0000;0.0000;0.2345;0;0;Qwen3-1.7B-QLoRA
ID_7464190101117707;0.5197;0.4130;0.6000;0.4000;0.2000;0.1667;0.2222;0.2222;0.1713;0.3200;0.1552;0.1713;0.3200;0.1552;5;5;Qwen3-1.7B-QLoRA
ID_7471111924336519;0.0000;0.0766;0.0000;0.0000;0.0500;0.0000;0.0000;0.1429;0.0000;0.1020;0.6631;0.0119;0.1429;0.6166;0;1;Qwen3-1.7B-QLoRA
ID_7506578377321090;0.2450;0.2453;0.6000;0.3000;0.2500;0.1154;0.1154;0.1923;0.0929;0.1571;0.5920;0.1230;0.2179;0.5724;3;5;Qwen3-1.7B-QLoRA
ID_7527179767450432;0.1449;0.2343;0.2000;0.3000;0.3000;0.0417;0.1250;0.2500;0.0359;0.2540;0.5656;0.0809;0.2994;0.6277;3;6;Qwen3-1.7B-QLoRA
ID_7532334620264577;0.2201;0.1447;0.2000;0.1000;0.0500;0.0357;0.0357;0.0357;0.0357;0.0677;0.2999;0.0357;0.0677;0.2999;1;1;Qwen3-1.7B-QLoRA
ID_7572366766177648;0.6489;0.4188;1.0000;0.5000;0.2500;0.1111;0.1111;0.1111;0.1111;0.1961;0.1247;0.1111;0.1961;0.1247;5;5;Qwen3-1.7B-QLoRA
ID_7594033934995220;0.1725;0.3030;0.2000;0.2000;0.3500;0.0435;0.0870;0.3043;0.0362;0.7857;0.3146;0.1036;0.8286;0.3751;2;8;Qwen3-1.7B-QLoRA
ID_7606805059403041;0.2895;0.2224;0.2000;0.2000;0.1500;0.0233;0.0465;0.0698;0.0291;0.2069;0.2431;0.0337;0.2112;0.1982;2;3;Qwen3-1.7B-QLoRA
