Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_7216933992248038;0.6107;0.5764;0.6000;0.6000;0.5500;0.0750;0.1500;0.2750;0.1123;0.2587;0.7406;0.1914;0.3868;0.6962;6;11;Qwen3-1.7B-QLoRA
ID_7233767393471644;0.0524;0.0559;0.2000;0.1000;0.0500;0.0909;0.0909;0.0909;0.0182;0.0504;0.6716;0.0182;0.0504;0.7393;1;2;Qwen3-1.7B-QLoRA
ID_7249500407405478;0.3024;0.3583;0.4000;0.3000;0.4000;0.0588;0.0882;0.2353;0.0412;0.3527;0.6230;0.0994;0.5045;0.6497;3;9;Qwen3-1.7B-QLoRA
ID_7254844415865063;0.0833;0.1892;0.0000;0.1000;0.2500;0.0000;0.0312;0.1562;0.0045;0.1540;0.5217;0.0289;0.2433;0.6480;2;6;Qwen3-1.7B-QLoRA
ID_7269889225548975;0.5295;0.4878;0.4000;0.5000;0.4000;0.0909;0.2273;0.3636;0.1623;0.6250;0.7083;0.2338;0.6750;0.6977;5;8;Qwen3-1.7B-QLoRA
ID_7299082066704598;0.4729;0.4438;0.6000;0.4000;0.4000;0.0750;0.1000;0.2000;0.0830;0.2644;0.6250;0.1227;0.4483;0.6716;4;8;Qwen3-1.7B-QLoRA
ID_7305428791149745;0.2201;0.2620;0.2000;0.1000;0.2000;0.0500;0.0500;0.2000;0.0500;0.2434;0.7530;0.0783;0.3750;0.7678;1;4;Qwen3-1.7B-QLoRA
ID_7312223977002681;0.2496;0.3112;0.4000;0.4000;0.4000;0.0571;0.1143;0.2286;0.0762;0.1272;0.6623;0.1283;0.2977;0.7018;4;9;Qwen3-1.7B-QLoRA
ID_7430030311775522;0.0920;0.2598;0.0000;0.2000;0.4500;0.0000;0.0667;0.3000;0.0104;0.3306;0.6051;0.0986;0.4008;0.5122;2;10;Qwen3-1.7B-QLoRA
ID_7456235597127456;0.0295;0.0753;0.0000;0.1000;0.1000;0.0000;0.0625;0.1250;0.0069;0.1811;0.7516;0.0159;0.2201;0.7388;1;2;Qwen3-1.7B-QLoRA
ID_7464190101117707;0.3402;0.3896;0.4000;0.2000;0.2500;0.1111;0.1111;0.2778;0.0833;0.2700;0.6845;0.1259;0.3200;0.6226;3;8;Qwen3-1.7B-QLoRA
ID_7471111924336519;0.3783;0.3620;0.2000;0.3000;0.1500;0.1429;0.4286;0.4286;0.1619;0.2245;0.5879;0.1619;0.2449;0.6799;3;3;Qwen3-1.7B-QLoRA
ID_7506578377321090;0.2777;0.1916;0.4000;0.3000;0.1500;0.0769;0.1154;0.1154;0.0806;0.1672;0.7264;0.0806;0.1993;0.6816;3;4;Qwen3-1.7B-QLoRA
ID_7527179767450432;0.0992;0.1004;0.2000;0.1000;0.1000;0.0417;0.0417;0.0833;0.0083;0.2249;0.7532;0.0147;0.2282;0.7699;2;3;Qwen3-1.7B-QLoRA
ID_7532334620264577;0.1993;0.2570;0.4000;0.3000;0.3500;0.0714;0.1071;0.2500;0.0551;0.2371;0.7058;0.1087;0.2828;0.6769;3;7;Qwen3-1.7B-QLoRA
ID_7572366766177648;0.7910;0.6147;1.0000;0.7000;0.5000;0.1111;0.1556;0.2222;0.1489;0.3067;0.4878;0.1860;0.3811;0.6252;7;10;Qwen3-1.7B-QLoRA
ID_7594033934995220;0.0482;0.1812;0.0000;0.1000;0.2500;0.0000;0.0435;0.2174;0.0048;0.8000;0.6561;0.0414;0.8571;0.5972;2;6;Qwen3-1.7B-QLoRA
ID_7606805059403041;0.2048;0.2426;0.4000;0.2000;0.3000;0.0465;0.0465;0.1395;0.0194;0.2069;0.7202;0.0495;0.3233;0.7175;2;7;Qwen3-1.7B-QLoRA
ID_7721483148298785;0.0754;0.1988;0.0000;0.1000;0.1500;0.0000;0.0833;0.2500;0.0083;0.5714;0.6080;0.0389;0.6623;0.5831;1;3;Qwen3-1.7B-QLoRA
ID_7740917144757410;0.4692;0.4461;0.8000;0.6000;0.5000;0.0952;0.1429;0.2381;0.1049;0.6148;0.6388;0.1596;0.6637;0.6721;7;11;Qwen3-1.7B-QLoRA
ID_7881527576747420;0.0948;0.1650;0.2000;0.1000;0.2000;0.0303;0.0303;0.1212;0.0076;0.0406;0.5735;0.0263;0.1980;0.6793;1;5;Qwen3-1.7B-QLoRA
